iter	Passed	Remaining
475	632	696
476	633	694
477	634	692
478	634	690
479	635	688
480	636	686
481	637	685
482	638	683
483	639	681
484	640	679
485	640	677
486	641	675
487	642	674
488	643	672
489	644	670
490	645	668
491	646	667
492	647	665
493	647	663
494	648	661
495	649	660
496	650	658
497	651	656
498	652	655
499	653	653
500	654	651
501	654	649
502	655	647
503	656	646
504	657	644
505	658	642
506	659	640
507	659	639
508	660	637
509	661	635
510	662	634
511	663	632
512	664	631
513	665	629
514	666	628
515	667	626
516	668	624
517	669	623
518	670	621
519	671	619
520	671	617
521	672	616
522	673	614
523	674	612
524	675	611
525	676	609
526	677	608
527	678	606
528	679	604
529	680	603
530	681	601
531	682	600
532	682	598
533	683	596
534	684	594
535	685	593
536	686	591
537	686	589
538	687	588
539	688	586
540	689	585
541	690	583
542	691	582
543	692	580
544	693	579
545	694	577
546	695	576
547	696	574
548	697	572
549	698	571
550	698	569
551	699	567
552	700	566
553	701	564
554	702	563
555	703	561
556	703	559
557	704	558
558	705	556
559	706	555
560	707	553
561	708	552
562	709	550
563	710	549
564	711	547
565	711	545
566	712	544
567	713	542
568	714	541
569	715	539
570	715	537
571	716	536
572	717	534
573	718	533
574	719	531
575	719	529
576	721	528
577	722	527
578	723	526
579	724	524
580	725	522
581	726	521
582	726	519
583	727	518
584	728	516
585	729	515
586	730	513
587	730	512
588	731	510
589	732	509
590	733	507
591	734	506
592	735	504
593	736	503
594	737	502
595	738	500
596	739	499
597	740	497
598	741	496
599	742	494
600	743	493
601	743	491
602	744	490
603	745	488
604	746	487
605	747	485
606	748	484
607	749	483
608	750	481
609	750	480
610	752	478
611	753	477
612	753	476
613	754	474
614	755	473
615	756	471
616	757	470
617	758	468
618	758	467
619	759	465
620	760	464
621	761	462
622	762	461
623	763	459
624	764	458
625	765	457
626	765	455
627	766	454
628	767	452
629	768	451
630	769	450
631	770	448
632	771	447
633	772	446
634	773	444
635	774	443
636	775	441
637	776	440
638	777	439
639	777	437
640	778	436
641	779	434
642	780	433
643	781	432
644	782	430
645	783	429
646	784	428
647	785	426
648	786	425
649	787	423
650	788	422
651	788	421
652	789	419
653	790	418
654	791	416
655	792	415
656	793	414
657	794	412
658	795	411
659	795	410
660	796	408
661	797	407
662	798	406
663	799	404
664	800	403
665	801	401
666	802	400
667	803	399
668	803	397
669	804	396
670	805	394
671	806	393
672	807	392
673	808	390
674	808	389
675	809	388
676	810	386
677	811	385
678	812	384
679	813	382
680	814	381
681	815	380
682	816	378
683	817	377
684	818	376
685	819	375
686	820	373
687	821	372
688	822	371
689	822	369
690	823	368
691	824	367
692	825	365
693	826	364
694	827	362
695	828	361
696	829	360
697	829	359
698	830	357
699	831	356
700	832	355
701	833	353
702	834	352
703	835	351
704	836	349
705	837	348
706	837	347
707	838	345
708	839	344
709	840	343
710	841	341
711	842	340
712	843	339
713	844	338
714	845	336
715	846	335
716	847	334
717	848	333
718	849	331
719	849	330
720	850	329
721	851	327
722	852	326
723	853	325
724	854	323
725	854	322
726	855	321
727	856	320
728	857	318
729	858	317
730	859	316
731	860	315
732	861	313
733	862	312
734	863	311
735	864	310
736	865	308
737	866	307
738	867	306
739	868	305
740	868	303
741	869	302
742	870	301
743	871	299
744	872	298
745	873	297
746	874	296
747	875	294
748	876	293
749	877	292
750	878	291
751	879	289
752	879	288
753	880	287
754	881	286
755	882	284
756	883	283
757	884	282
758	884	280
759	885	279
760	886	278
761	887	277
762	888	275
763	889	274
764	890	273
765	891	272
766	892	270
767	892	269
768	893	268
769	894	267
770	895	265
771	896	264
772	896	263
773	897	262
774	898	260
775	899	259
776	900	258
777	900	257
778	901	255
779	902	254
780	903	253
781	904	252
782	905	250
783	906	249
784	907	248
785	908	247
786	909	246
787	910	244
788	910	243
789	911	242
790	912	241
791	913	239
792	914	238
793	915	237
794	915	236
795	916	234
796	917	233
797	918	232
798	919	231
799	920	230
800	921	228
801	922	227
802	922	226
803	923	225
804	924	223
805	925	222
806	926	221
807	927	220
808	928	219
809	928	217
810	929	216
811	930	215
812	931	214
813	932	213
814	933	211
815	934	210
816	935	209
817	936	208
818	936	207
819	937	205
820	938	204
821	939	203
822	940	202
823	941	201
824	942	199
825	942	198
826	943	197
827	944	196
828	945	195
829	946	193
830	947	192
831	948	191
832	949	190
833	950	189
834	951	188
835	952	186
836	953	185
837	954	184
838	954	183
839	955	182
840	956	180
841	957	179
842	958	178
843	959	177
844	959	176
845	960	174
846	961	173
847	962	172
848	963	171
849	965	170
850	969	169
851	970	168
852	971	167
853	972	166
854	973	165
855	974	163
856	975	162
857	976	161
858	977	160
859	978	159
860	979	158
861	980	157
862	981	155
863	982	154
864	984	153
865	985	152
866	985	151
867	986	150
868	987	148
869	988	147
870	989	146
871	990	145
872	991	144
873	992	143
874	993	141
875	994	140
876	995	139
877	997	138
878	997	137
879	998	136
880	999	135
881	1000	133
882	1001	132
883	1002	131
884	1003	130
885	1004	129
886	1005	128
887	1006	126
888	1007	125
889	1008	124
890	1008	123
891	1009	122
892	1011	121
893	1012	120
894	1013	118
895	1014	117
896	1015	116
897	1016	115
898	1017	114
899	1018	113
900	1019	111
901	1020	110
902	1021	109
903	1022	108
904	1023	107
905	1024	106
906	1025	105
907	1026	103
908	1027	102
909	1028	101
910	1029	100
911	1030	99
912	1031	98
913	1032	97
914	1033	95
915	1034	94
916	1034	93
917	1035	92
918	1036	91
919	1037	90
920	1038	89
921	1039	87
922	1040	86
923	1041	85
924	1042	84
925	1043	83
926	1044	82
927	1045	81
928	1046	79
929	1047	78
930	1048	77
931	1049	76
932	1050	75
933	1051	74
934	1052	73
935	1053	72
936	1054	70
937	1055	69
938	1056	68
939	1057	67
940	1058	66
941	1059	65
942	1060	64
943	1061	62
944	1062	61
945	1063	60
946	1064	59
947	1065	58
948	1065	57
949	1066	56
950	1067	55
951	1068	53
952	1069	52
953	1070	51
954	1071	50
955	1073	49
956	1074	48
957	1075	47
958	1076	46
959	1078	44
960	1079	43
961	1080	42
962	1081	41
963	1082	40
964	1083	39
965	1083	38
966	1084	37
967	1085	35
968	1086	34
969	1087	33
970	1088	32
971	1089	31
972	1090	30
973	1091	29
974	1092	28
975	1093	26
976	1093	25
977	1094	24
978	1095	23
979	1096	22
980	1097	21
981	1098	20
982	1099	19
983	1099	17
984	1100	16
985	1102	15
986	1102	14
987	1103	13
988	1104	12
989	1105	11
990	1106	10
991	1107	8
992	1108	7
993	1108	6
994	1109	5
995	1110	4
996	1111	3
997	1112	2
998	1113	1
999	1114	0
